TRAVEL_ID,POI_ID,POI_NM
d_d006731,POI01000000EBRQLN,신비원(석부작돌공원)
d_d002613,POI01000000B34XFQ,푸조렌트카
d_d009541,POI010000006W0H2H,에코랜드테마파크
c_c006685,POI01000000C2R8CL,고운하이츠
a_a008632,POI01000000BVPPZF,스트롤링가든브릿지
d_d006824,POI01000000C9KU94,디오반풀하우스
b_b001930,POI01000000BSCLHD,한담애넘이펜션
d_d003736,POI01000000B351GW,하루호텔
d_d000014,POI01000000B33QGJ,하버호텔
d_d000787,POI01000000B31UBG,메리아일랜드
d_d006400,POI01000000B30TZ2,해든빌레펜션
d_d000480,POI01000000BZ216F,정방폭포
d_d009662,POI01000000ALBVGD,제주신화월드테마파크
d_d011528,POI010000006W0OL7,제주돌문화공원
d_d006290,POI01000000C2SDL0,"남악센트레빌리버파크아파트,125동"
d_d002182,POI0100000078QHWE,유탑유블레스호텔
d_d000043,POI01000000C2QA0A,"하남2지구다사로움1단지아파트,103동"
d_d009186,POI01000000B356BW,제주민속5일시장
d_d006839,POI01000000C9P48I,명가원룸
b_b002037,POI0100000067RP3S,경부고속철도서울민자역사
d_d002138,POI01000000EHG9GW,성산일출봉
d_d001836,POI01000000B1D0BW,노량진수산시장
d_d001935,POI01000000EG4M9P,카리스빌
d_d002000,POI010000006VWNAQ,동문시장고객지원센터
a_a002144,POI010000006IZT8K,안산역
d_d007188,POI01000000BG6W1Q,휘닉스아일랜드
d_d003119,POI010000006VUPT9,산방식당
d_d001877,POI01000000ALAER6,호텔서귀피안
d_d000159,POI010000009015CN,담모라
d_d006690,POI01000000E8720R,충혼묘지
d_d000820,POI01000000BSCKZU,예벤에셀함덕호텔
d_d005931,POI010000006VU786,장위동유성집
d_d002120,POI010000006GG7MR,경복궁태원전
d_d001713,POI01000000BG7767,신화성
c_c001522,POI010000006VH91O,동부화훼영농조합
d_d011027,POI0100000078KLO4,샤워실
d_d001917,POI010000006VSOGT,포도뮤지엄
d_d010391,POI010000006W8SZX,코코몽에코파크
d_d009728,POI01000000ALBFBS,카멜리아힐
d_d007572,POI010000006VVEQW,엘루이호텔
d_d000018,POI0100000078S9P1,호텔위드제주
d_d003576,POI01000000B34SLR,맥도날드
d_d000033,POI01000000C9GW3W,laromace
d_d009241,POI0100000078KLO4,샤워실
d_d001429,POI010000006VWNAQ,동문시장고객지원센터
c_c003189,POI01000000C27RFN,현대그린아파트/305동
d_d012439,POI01000000B8XH6Z,대정교회
d_d001357,POI010000006W7BS8,ICC제주국제컨벤션센터
b_b000151,POI01000000C95MW4,아이디어빌
d_d003369,POI01000000C70NFH,에몬스빌
d_d001701,POI01000000EAEKSA,부산역6번출입구
d_d003928,POI010000006VSVBV,협재회관
d_d011457,POI01000000EG3ZSK,제주일번가더테라스주상복합
d_d002782,POI01000000B30WSY,춤추는달
d_d002398,POI010000006W4QA2,유한의원
d_d000097,POI01000000EGA3X0,표선해비치해변야영장
d_d000160,POI01000000CW6QWW,루스트플레이스
d_d009721,POI01000000E8720R,충혼묘지
d_d000701,POI01000000BG73EB,붉은오름자연휴양림
d_d005582,POI010000006DKPNB,장호항어민대기소
d_d004635,POI01000000EHG9GW,성산일출봉
d_d002432,POI0100000078KLO4,샤워실
d_d006717,POI01000000EG6KIY,중앙목장
d_d002490,POI010000006VTG28,한경가든
d_d000658,POI01000000C9K1GI,럭스빌
d_d002857,POI010000006VSCVW,바다풍경
d_d009933,POI01000000ALJ8EW,타시요렌터카
d_d001189,POI0100000075Y1PW,강릉역
d_d004370,POI010000006VWNAQ,동문시장고객지원센터
d_d001345,POI01000000EG86HL,커먼스테이
d_d000868,POI01000000ALAVKG,호텔케니
d_d006778,POI01000000ALAO0P,국토교통인재개발원교육관
d_d003446,POI01000000BSCGYP,서귀포시공영주차장
d_d009048,POI010000006W5JPB,제이힐호텔
d_d006124,POI01000000EG3SI3,롯데하이마트신제주점
c_c002788,POI01000000EI63HI,황은희잉글리쉬
d_d003364,POI01000000EG8L3M,제주발리리조트
d_d006007,POI01000000E99TEZ,현충사입구
d_d000408,POI01000000ALA5CI,신신호텔
a_a005932,POI010000006BIT1P,독도박물관
d_d007504,POI01000000B32NWV,제주랜드ATV승마
d_d009780,POI010000006VTSVD,헬로우키티아일랜드
d_d009186,POI010000006W0YKG,COCORIPIPEBISTRO
a_a002858,POI01000000C0Z7ZD,영통아이파크캐슬2단지아파트/116동
d_d001580,POI01000000EBPA8S,목천휴게소
d_d005931,POI01000000C9ONF7,스타빌
d_d004756,POI01000000BFXNSY,용산역
d_d009158,POI01000000EG7JXD,고성오일시장
d_d003994,POI01000000EHBC0E,BK빌딩
a_a000353,POI01000000CS354C,학이시습
d_d005360,POI01000000AM0RH0,다롱이의집
d_d001353,POI01000000EHG9GW,성산일출봉
d_d002955,POI01000000EG9212,우생당서점
c_c000852,POI01000000BG9XZS,에로스서각박물관
b_b003774,POI01000000B773G4,충렬사
d_d002816,POI010000006W1M0L,늘봄흑돼지
d_d011359,POI010000006W3GGX,퓨어스테이
d_d000209,POI01000000B31Y5E,오설록티뮤지엄
d_d002561,POI01000000BG6Z1T,라마다프라자제주호텔
d_d003841,POI01000000AK081Z,유스퀘어광주종합버스
c_c000609,POI010000006YEMII,돌산청솔2차아파트/청솔2차아파트관리사무소
d_d003536,POI01000000ALH8Q6,HISive
d_d001585,POI01000000B32NRQ,서귀포시모구리야영장
d_d008994,POI01000000EG6NGZ,BLBETTERLIFE&COMPANY
d_d002701,POI010000006QK7P8,금서루
d_d002148,POI0100000078KDV3,더블케이
d_d002651,POI0100000078TG0K,그랜드밀리언스호텔
d_d007963,POI01000000C0KBCF,충무1차주공아파트/222동
a_a002976,POI010000006VVF7E,찰리호텔
d_d000150,POI010000006W0VWP,제주도두해수파크펜션
d_d009723,POI01000000ALH79O,드라마카운티
d_d005548,POI01000000EG8Q9X,호텔케니
d_d004247,POI01000000B32K95,조랑말타운승마장
d_d004399,POI010000006W44DJ,샹그릴라호텔
d_d004285,POI01000000EG9ADM,수산식당
d_d009564,POI01000000ALBVGD,제주신화월드테마파크
d_d002182,POI0100000078KLO4,샤워실
d_d006321,POI01000000BXPQ1K,경포해수욕장
d_d007441,POI01000000B773H5,통영항여객선터미널
d_d000554,POI01000000EHG23C,SONOBELLE
d_d002564,POI010000006MZWL4,젠모텔
d_d007819,POI01000000ALBVGD,제주신화월드테마파크
d_d010436,POI01000000C2IBIL,부영사랑으로/107동
d_d010768,POI01000000ALAFGW,1965올레시장54번가
d_d006734,POI010000006W7BS8,ICC제주국제컨벤션센터
d_d002844,POI01000000B31UCH,채희웨스톤호텔
d_d002308,POI01000000E9LWII,서울역버스환승센터
